Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR
Ben Rounds,Harvard,RF,0.403,0.506,0.685,1.19,39,180,149,43,60,16,1,8
John Quinlan,Cornell,LF,0.378,0.439,0.568,1.007,33,167,148,35,56,9,2,5
Mark Quatrani,Cornell,C,0.362,0.492,0.714,1.207,29,132,105,22,38,2,1,11
Wyatt Henseler,Pennsylvania,3B,0.36,0.465,0.755,1.22,49,245,200,64,72,9,2,22
Max Jensen,Cornell,1B,0.358,0.455,0.561,1.015,37,177,148,34,53,8,2,6
Nathan Cmeyla,Dartmouth,C,0.357,0.409,0.601,1.01,37,159,143,23,51,12,1,7
Sam Miller,Columbia,SS,0.355,0.411,0.651,1.061,43,191,169,43,60,12,1,12
Jack Cooper,Columbia,1B,0.335,0.382,0.719,1.1,41,186,167,45,56,16,0,16
Alec Atkinson,Yale,1B,0.331,0.425,0.439,0.864,41,180,148,27,49,6,2,2
Cole Hage,Columbia,DH,0.329,0.471,0.658,1.129,42,204,161,52,53,10,2,13
Eric Jeon,Columbia,3B,0.32,0.391,0.523,0.914,40,175,153,26,49,12,2,5
Davis Baker,Pennsylvania,SS,0.319,0.393,0.521,0.914,49,244,213,40,68,14,4,7
Jake Koonin,Princeton,2B,0.319,0.402,0.528,0.93,44,191,163,30,52,22,0,4
Nick Spaventa,Pennsylvania,1B,0.318,0.408,0.492,0.899,45,206,179,25,57,10,0,7
Nathan Brasher,Brown,RF,0.315,0.416,0.39,0.807,39,174,146,19,46,9,1,0
Elliot Krewson,Dartmouth,3B,0.315,0.383,0.377,0.759,38,184,162,17,51,7,0,1
Jackson Hower,Dartmouth,LF,0.31,0.385,0.389,0.774,35,143,126,26,39,7,0,1
Ryan Taylor,Pennsylvania,CF,0.306,0.404,0.47,0.874,46,218,183,27,56,15,3,3
Cole Fellows,Columbia,LF,0.305,0.374,0.508,0.882,41,150,128,26,39,8,3,4
Jake Bold,Princeton,C,0.295,0.434,0.442,0.877,44,198,156,27,46,7,2,4
